Edge,Count,Wins,Win%,Profit,ROI%,Avg CLV
0-1,382,194,0.5078534031413613,-1631.9918688903135,-4.272230023273072,0.04129793510324484
1-2,291,161,0.5532646048109966,1116.1595922694953,3.8355999734346917,0.07224334600760456
2-3,148,79,0.5337837837837838,-77.29080131573971,-0.5222351440252684,-0.036231884057971016
3-4,83,44,0.5301204819277109,-110.10309902401407,-1.3265433617351092,0.1917808219178082
4-5,30,16,0.5333333333333333,-42.03058243622435,-1.4010194145408117,0.0
5+,30,14,0.4666666666666667,-372.9794057173483,-12.432646857244944,0.3448275862068966
