week,date,player,team,actual,prediction,opening_line,closing_line,line_movement,bet_type,edge,odds,won,profit,clv,used_opening
2,2025-10-22,Sam Merrill,Cleveland Cavaliers,19,5.329769611358643,9.5,10.5,1.0,UNDER,4.170230388641357,-124.0,False,-100.0,-1.0,True
2,2025-10-22,OG Anunoby,New York Knicks,24,19.886499404907227,16.5,15.5,-1.0,OVER,3.3864994049072266,-119.0,True,84.03361344537815,-1.0,True
2,2025-10-23,Isaiah Hartenstein,Oklahoma City Thunder,5,8.766006469726562,10.5,11.5,1.0,UNDER,1.7339935302734375,101.0,True,101.0,-1.0,True
2,2025-10-23,Jay Huff,Indiana Pacers,5,3.547677516937256,,7.5,,UNDER,3.952322483062744,-127.0,True,78.74015748031496,,False
2,2025-10-23,Luguentz Dort,Oklahoma City Thunder,7,8.412801742553711,9.5,10.5,1.0,UNDER,1.087198257446289,-102.0,True,98.0392156862745,-1.0,True
2,2025-10-23,Shai Gilgeous-Alexander,Oklahoma City Thunder,55,31.474233627319336,31.5,32.5,1.0,UNDER,0.025766372680664062,-107.0,False,-100.0,-1.0,True
2,2025-10-23,Andrew Nembhard,Indiana Pacers,4,7.5543012619018555,13.5,13.5,0.0,UNDER,5.9456987380981445,-116.0,True,86.20689655172413,-0.0,True
2,2025-10-23,Ajay Mitchell,Oklahoma City Thunder,26,7.397234916687012,,11.5,,UNDER,4.102765083312988,-101.0,False,-100.0,,False
2,2025-10-23,Isaiah Jackson,Indiana Pacers,0,4.376961708068848,7.5,7.5,0.0,UNDER,3.1230382919311523,-109.0,True,91.74311926605505,-0.0,True
2,2025-10-23,Aaron Wiggins,Oklahoma City Thunder,23,11.220722198486328,13.5,15.5,2.0,UNDER,2.279277801513672,-115.0,False,-100.0,-2.0,True
2,2025-10-23,Chet Holmgren,Oklahoma City Thunder,15,14.622519493103027,17.5,17.5,0.0,UNDER,2.8774805068969727,-112.0,True,89.28571428571429,-0.0,True
2,2025-10-23,Bennedict Mathurin,Indiana Pacers,36,13.867505073547363,18.5,19.5,1.0,UNDER,4.632494926452637,-106.0,False,-100.0,-1.0,True
2,2025-10-23,Pascal Siakam,Indiana Pacers,32,16.539031982421875,20.5,19.5,-1.0,UNDER,3.960968017578125,-123.0,False,-100.0,1.0,True
2,2025-10-23,Aaron Nesmith,Indiana Pacers,5,10.08015251159668,14.5,13.5,-1.0,UNDER,4.41984748840332,-124.0,True,80.64516129032258,1.0,True
2,2025-10-23,Obi Toppin,Indiana Pacers,20,8.926774024963379,11.5,11.5,0.0,UNDER,2.573225975036621,-126.0,False,-100.0,-0.0,True
2,2025-10-24,Chris Boucher,Boston Celtics,0,4.909019470214844,,7.5,,UNDER,2.5909805297851562,-116.0,True,86.20689655172413,,False
2,2025-10-24,Brandon Ingram,Toronto Raptors,29,19.854244232177734,19.5,19.5,0.0,OVER,0.3542442321777344,-120.0,True,83.33333333333334,0.0,True
2,2025-10-24,Myles Turner,Milwaukee Bucks,4,13.209002494812012,14.5,14.5,0.0,UNDER,1.2909975051879883,-113.0,True,88.49557522123894,-0.0,True
2,2025-10-24,Nickeil Alexander-Walker,Atlanta Hawks,19,9.599108695983887,,11.5,,UNDER,1.9008913040161133,-121.0,False,-100.0,,False
2,2025-10-24,Michael Porter Jr.,Brooklyn Nets,31,14.01727294921875,17.5,17.5,0.0,UNDER,3.48272705078125,-124.0,False,-100.0,-0.0,True
2,2025-10-24,Donovan Mitchell,Cleveland Cavaliers,35,24.053503036499023,27.5,28.5,1.0,UNDER,3.4464969635009766,-113.0,False,-100.0,-1.0,True
2,2025-10-24,Jalen Brunson,New York Knicks,31,24.513872146606445,26.5,26.5,0.0,UNDER,1.9861278533935547,-107.0,False,-100.0,-0.0,True
